Designator,Mid X,Mid Y,Rotation,Layer
D248,62.923202,36.3693,315.0,top
D249,62.923223,34.469317,315.0,top
D25,21.123223,32.6,315.0,top
D250,62.923223,32.569317,315.0,top
D251,62.923223,30.669317,315.0,top
D252,62.923223,28.769317,315.0,top
D253,64.823223,43.968634,315.0,top
D254,64.823223,42.069317,315.0,top
D255,64.823223,40.169317,315.0,top
D256,64.823223,38.269317,315.0,top
D257,64.823201,36.3693,315.0,top
D258,64.823223,34.469317,315.0,top
D259,64.823223,32.569317,315.0,top
D26,21.123223,30.673224,315.0,top
D260,64.823223,30.669317,315.0,top
D261,64.823223,28.769317,315.0,top
D262,66.723223,43.969317,315.0,top
D263,66.723223,42.069317,315.0,top
D264,66.723223,40.169317,315.0,top
D265,66.723223,38.269317,315.0,top
D266,66.7232,36.3694,315.0,top
D267,66.723223,34.469317,315.0,top
D268,66.723223,32.569317,315.0,top
D269,66.723223,30.669317,315.0,top
D27,21.123223,28.773224,315.0,top
D270,66.723223,28.769317,315.0,top
D28,23.023223,43.969317,315.0,top
D29,23.023223,42.07,315.0,top
D3,17.323223,40.169317,315.0,top
D30,23.023223,40.15,315.0,top
D31,23.023223,38.269317,315.0,top
D32,23.02322,36.369317,315.0,top
D33,23.023223,34.473224,315.0,top
D332,33.5,13.3,270.0,bottom
D333,43.5,21.5,270.0,bottom
D334,57.523223,13.273224,270.0,bottom
D34,23.023223,32.6,315.0,top
D35,23.023223,30.673224,315.0,top
D36,23.023223,28.773224,315.0,top
D37,24.923223,43.969317,315.0,top
D38,24.923223,42.07,315.0,top
D39,24.923223,40.15,315.0,top
D4,17.323223,38.269317,315.0,top
D40,24.923223,38.269317,315.0,top
D41,24.923219,36.369317,315.0,top
D42,24.923223,34.469317,315.0,top
D43,24.923223,32.6,315.0,top
D44,24.923223,30.669317,315.0,top
D45,24.923223,28.773224,315.0,top
D46,26.823223,43.969317,315.0,top
D47,26.823223,42.07,315.0,top
D48,26.823223,40.15,315.0,top
D49,26.823223,38.269317,315.0,top
D5,17.323223,36.369317,315.0,top
D50,26.823219,36.3693,315.0,top
D51,26.823223,34.469317,315.0,top
D52,26.823223,32.569317,315.0,top
D53,26.823223,30.673224,315.0,top
D54,26.823223,28.773224,315.0,top
D55,28.723223,43.969317,315.0,top
D56,28.723223,42.07,315.0,top
D57,28.723223,40.15,315.0,top
D58,28.723223,38.269317,315.0,top
D59,28.723218,36.3,315.0,top
D6,17.323223,34.469317,315.0,top
D60,28.723223,34.469317,315.0,top
D61,28.723223,32.569317,315.0,top
D62,28.723223,30.673224,315.0,top
D63,28.723223,28.773224,315.0,top
D7,17.323223,32.569317,315.0,top
D73,30.623223,43.968634,315.0,top
D74,30.623223,42.069317,315.0,top
D75,30.623223,40.169317,315.0,top
D76,30.623223,38.269317,315.0,top
D77,30.623217,36.369317,315.0,top
D78,30.623223,34.469317,315.0,top
D79,30.623223,32.569317,315.0,top
D8,17.323223,30.669317,315.0,top
D80,30.623223,30.669317,315.0,top
D81,30.623223,28.769317,315.0,top
D82,32.523223,43.968634,315.0,top
D83,32.523223,42.069317,315.0,top
D84,32.523223,40.169317,315.0,top
D85,32.523223,38.269317,315.0,top
D86,32.523216,36.3693,315.0,top
D87,32.523223,34.469317,315.0,top
D88,32.523223,32.569317,315.0,top
D89,32.523223,30.669317,315.0,top
D9,17.323223,28.773224,315.0,top
D90,32.523223,28.769317,315.0,top
D91,34.423223,43.968634,315.0,top
D92,34.423223,42.069317,315.0,top
D93,34.423223,40.169317,315.0,top
D94,34.423223,38.269317,315.0,top
D95,34.423215,36.369317,315.0,top
D96,34.423223,34.469317,315.0,top
D97,34.423223,32.569317,315.0,top
D98,34.423223,30.669317,315.0,top
D99,34.423223,28.769317,315.0,top
DONE1,67.2,-11.6,180.0,bottom
DOWN_U5,36.023223,-8.689276,270.0,top
FB1,35.973223,-8.676776,180.0,bottom
FB2,32.523223,-8.676776,0.0,bottom
IC1,27.423223,19.573224,90.0,bottom
IC2,36.523223,19.573224,90.0,bottom
IC3,52.723223,19.573224,90.0,bottom
IC4,61.823223,19.573224,90.0,bottom
J1,18.87,16.043224,180.0,bottom
J4,42.723223,50.473224,0.0,bottom
J5,28.923223,-19.926776,270.0,bottom
J6,42.023223,-32.126776,0.0,bottom
L1,54.323223,0.469317,0.0,bottom
LED1,57.323223,7.3,180.0,bottom
LED2,53.923223,7.3,180.0,bottom
LS1,26.123223,-22.826776,0.0,top
LS2,57.623223,-22.826776,0.0,top
MK1,41.923223,-22.826776,0.0,bottom
R10,61.423223,13.273224,90.0,bottom
